"Name","cluster","gene_description"
"dppF","blue","dipeptide transporter  K12372 dipeptide transport system ATP-binding protein"
"dps","yellow","Fe-binding and storage protein  stress-inducible DNA-binding protetin  K04047 starvation-inducible DNA-binding protein"
"dps","yellow","Fe-binding and storage protein  stress-inducible DNA-binding protetin  K04047 starvation-inducible DNA-binding protein"
"dsbB","grey","oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I  K03611 disulfide bond formation protein DsbB"
"dsbB","grey","oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I  K03611 disulfide bond formation protein DsbB"
"dsbC","yellow","protein disulfide isomerase II (EC:5.3.4.1)  K03981 thiol:disulfide interchange protein DsbC [EC:5.3.4.1]"
"dsbD","turquoise","fused thiol:disulfide interchange protein: activator of DsbC/conserved protein (EC:1.8.1.8)  K04084 thiol:disulfide interchange protein DsbD [EC:1.8.1.8]"
"dsbG","turquoise","thiol:disulfide interchange protein  periplasmic (EC:5.3.4.1)  K03805 thiol:disulfide interchange protein DsbG"
"dsdA","green","D-serine dehydratase (EC:4.3.1.18)  K01753 D-serine dehydratase [EC:4.3.1.18]"
"dsdC","turquoise","DNA-binding transcriptional dual regulator  K13636 LysR family transcriptional regulator  D-serine deaminase activator"
"dsdX","green","D-serine permease  K13629 D-serine transporter"
"dsrA","turquoise","sRNA antisense regulator enhances translation of RpoS  Hfq-dependent"
"dsrB","red","predicted protein"
"dtpA","green","dipeptide and tripeptide permease A  K03305 proton-dependent oligopeptide transporter  POT family"
"dtpB","turquoise","dipeptide and tripeptide permease B  K03305 proton-dependent oligopeptide transporter  POT family"
"dtpD","blue","dipeptide and tripeptide permease D  K03305 proton-dependent oligopeptide transporter  POT family"
"dusA","turquoise","tRNA-dihydrouridine synthase A  K05539 tRNA-dihydrouridine synthase A [EC:1.-.-.-]"
"dusB","brown","tRNA-dihydrouridine synthase B  K05540 tRNA-dihydrouridine synthase B [EC:1.-.-.-]"
"dusC","turquoise","tRNA-dihydrouridine synthase C  K05541 tRNA-dihydrouridine synthase C [EC:1.-.-.-]"
"dut","black","deoxyuridinetriphosphatase (EC:3.6.1.23)  K01520 dUTP pyrophosphatase [EC:3.6.1.23]"
"dxr","yellow","1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC:1.1.1.267)  K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"dxs","brown","1-deoxyxylulose-5-phosphate synthase  thiamine-requiring  FAD-requiring (EC:2.2.1.7)  K01662 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]"
"eaeH","black","pseudogene"
"eamA","turquoise","cysteine and O-acetyl-L-serine efflux system  K15268 O-acetylserine/cysteine efflux transporter"
"eamB","turquoise","cysteine and O-acetylserine exporter  K11249 cysteine/O-acetylserine efflux protein"
"ebgA","blue","cryptic beta-D-galactosidase  alpha subunit (EC:3.2.1.23)  K12111 evolved beta-galactosidase subunit alpha [EC:3.2.1.23]"
"ebgC","blue","cryptic beta-D-galactosidase  beta subunit  K12112 evolved beta-galactosidase subunit beta"
"ebgR","blue","DNA-binding transcriptional repressor  K12113 LacI family transcriptional regulator  ebg operon repressor"
"ecnA","blue","entericidin A membrane lipoprotein  antidote entericidin B  K16347 entericidin A"
"ecnB","turquoise","entericidin B membrane lipoprotein  K16348 entericidin B"
"edd","red","6-phosphogluconate dehydratase (EC:4.2.1.12)  K01690 phosphogluconate dehydratase [EC:4.2.1.12]"
"efeB","blue","deferrrochelatase  periplasmic  K16301 deferrochelatase/peroxidase EfeB [EC:1.11.1.-]"
"efeB","blue","deferrrochelatase  periplasmic  K16301 deferrochelatase/peroxidase EfeB [EC:1.11.1.-]"
"efeO","green","inactive ferrous ion transporter EfeUOB  K07224 iron uptake system component EfeO"
"efeU","turquoise","pseudogene"
"efp","blue","polyproline-specific translation elongation factor EF-P  K02356 elongation factor P"
"elaA","green","predicted acyltransferase with acyl-CoA N-acyltransferase domain  K02348 ElaA protein"
"elaB","green","ribosome-binding protein  probably membrane-anchored  function unknown  K05594 ElaB protein"
"elaD","turquoise","protease  capable of cleaving an AMC-ubiquitin model substrate  K18015 deubiquitinase [EC:3.4.22.-]"
"elbB","turquoise","isoprenoid biosynthesis protein with amidotransferase-like domain"
"elfA","yellow","predicted fimbrial-like adhesin protein"
"elfC","turquoise","predicted outer membrane usher protein  K07347 outer membrane usher protein"
"elfD","turquoise","predicted periplasmic pilin chaperone"
"elfG","blue","predicted fimbrial-like adhesin protein"
"emrB","blue","multidrug efflux system protein  K03446 MFS transporter  DHA2 family  multidrug resistance protein B"
"emrD","green","multidrug efflux system protein  K08154 MFS transporter  DHA1 family  2-module integral membrane pump EmrD"
"emrE","turquoise","DLP12 prophage  multidrug resistance protein  K03297 small multidrug resistance family protein"
"emrY","grey","predicted multidrug efflux system  K07786 MFS transporter  multidrug resistance protein Y"
"emtA","blue","lytic murein endotransglycosylase E (EC:3.2.1.-)  K08308 membrane-bound lytic murein transglycosylase E [EC:3.2.1.-]"
"endA","blue","DNA-specific endonuclease I (EC:3.1.21.1)  K01150 deoxyribonuclease I [EC:3.1.21.1]"
"entB","green","isochorismatase (EC:3.3.2.1)  K01252 bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1]"
"entB","green","isochorismatase (EC:3.3.2.1)  K01252 bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1]"
"entC","turquoise","isochorismate synthase 1 (EC:5.4.4.2)  K02361 isochorismate synthase [EC:5.4.4.2]"
"entD","blue","phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex (EC:2.7.8.-)  K02362 enterobactin synthetase component D [EC:2.7.8.-]"
"entH","blue","enterobactin synthesis proofreading thioesterase  K01175 [EC:3.1.-.-]"
"entH","blue","enterobactin synthesis proofreading thioesterase  K01175 [EC:3.1.-.-]"
"envC","turquoise","activator of AmiB C murein hydrolases  septal ring factor"
"envC","turquoise","activator of AmiB C murein hydrolases  septal ring factor"
"envR","grey","DNA-binding transcriptional regulator"
"envY","turquoise","DNA-binding transcriptional activator of porin biosynthesis  K11920 AraC family transcriptional regulator"
"erfK","turquoise","L D-transpeptidase linking Lpp to murein  K16291 L D-transpeptidase"
"erpA","green","iron-sulfur cluster insertion protein  K15724 iron-sulfur cluster insertion protein"
"erpA","green","iron-sulfur cluster insertion protein  K15724 iron-sulfur cluster insertion protein"
"essD","yellow","DLP12 prophage  predicted phage lysis protein"
"essQ","turquoise","Qin prophage  predicted S lysis protein"
"etk","black","cryptic autophosphorylating protein tyrosine kinase Etk (EC:2.7.10.2)  K16692 tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]"
"etk","black","cryptic autophosphorylating protein tyrosine kinase Etk (EC:2.7.10.2)  K16692 tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]"
"etp","turquoise","phosphotyrosine-protein phosphatase  K01104 protein-tyrosine phosphatase [EC:3.1.3.48]"
"eutA","blue","reactivating factor for ethanolamine ammonia lyase  K04019 ethanolamine utilization protein EutA"
"eutB","blue","ethanolamine ammonia-lyase  large subunit  heavy chain (EC:4.3.1.7)  K03735 ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]"
"eutC","yellow","ethanolamine ammonia-lyase  small subunit (light chain) (EC:4.3.1.7)  K03736 ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]"
"eutD","green","phosphate acetyltransferase  K04020 phosphotransacetylase"
"eutE","blue","aldehyde oxidoreductase  ethanolamine utilization protein  K04021 aldehyde dehydrogenase"
"eutG","turquoise","ethanol dehydrogenase involved in ethanolamine utilization  aldehyde reductase  converts acetaldehyde to ethanol  K04022 alcohol dehydrogenase"
"eutH","turquoise","ethanolamine transporter  K04023 ethanolamine transporter"
"eutJ","turquoise","predicted chaperonin  ethanolamine utilization protein  K04024 ethanolamine utilization protein EutJ"
"eutK","turquoise","predicted carboxysome structural protein with predicted role in ethanolamine utilization  K04025 ethanolamine utilization protein EutK"
"eutL","black","predicted carboxysome structural protein with predicted role in ethanolamine utilization  K04026 ethanolamine utilization protein EutL"
"eutM","blue","predicted carboxysome structural protein  ethanolamine utilization protein  K04027 ethanolamine utilization protein EutM"
"eutN","turquoise","Ethanolamine catabolic microcompartment shell protein  K04028 ethanolamine utilization protein EutN"
"eutP","turquoise","conserved protein with nucleoside triphosphate hydrolase domain  K04029 ethanolamine utilization protein EutP"
"eutQ","blue","conserved protein  K04030 ethanolamine utilization protein EutQ"
"eutS","red","predicted carboxysome structural protein with predicted role in ethanol utilization  K04031 ethanolamine utilization protein EutS"
"eutT","turquoise","cobalamin adenosyltransferase involved in ethanolamine utilization  K04032 ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]"
"exoX","turquoise","exodeoxyribonuclease 10  DNA exonuclease X (EC:3.1.11.-)  K10857 exodeoxyribonuclease X [EC:3.1.11.-]"
"exuT","yellow","hexuronate transporter  K08191 MFS transporter  ACS family  hexuronate transporter"
"eyeA","blue","novel sRNA  function unknown  CP4-6 propahge"
"fabA","turquoise","beta-hydroxydecanoyl thioester dehydrase (EC:4.2.1.59 5.3.3.14)  K01716 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"fabB","brown","3-oxoacyl-[acyl-carrier-protein] synthase I (EC:2.3.1.41)  K00647 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]"
"fabD","brown","malonyl-CoA-[acyl-carrier-protein] transacylase (EC:2.3.1.39)  K00645 [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"fabF","yellow","3-oxoacyl-[acyl-carrier-protein] synthase II (EC:2.3.1.41)  K09458 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
"fabG","yellow","3-oxoacyl-[acyl-carrier-protein] reductase (EC:1.1.1.100)  K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"fabH","brown","3-oxoacyl-[acyl-carrier-protein] synthase III (EC:2.3.1.41)  K00648 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"fabI","blue","enoyl-[acyl-carrier-protein] reductase  NADH-dependent (EC:1.3.1.9)  K00208 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"
"fabR","blue","DNA-binding transcriptional repressor"
"fabZ","yellow","(3R)-hydroxymyristol acyl carrier protein dehydratase (EC:4.2.1.-)  K02372 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"fadA","turquoise","3-ketoacyl-CoA thiolase (thiolase I) (EC:2.3.1.16)  K00632 acetyl-CoA acyltransferase [EC:2.3.1.16]"
"fadB","brown","fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase (EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8)  K01825 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]"
"fadD","black","acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase) (EC:6.2.1.3)  K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]"
"fadE","brown","acyl coenzyme A dehydrogenase (EC:1.3.99.-)  K06445 acyl-CoA dehydrogenase [EC:1.3.99.-]"
"fadH","brown","2 4-dienoyl-CoA reductase  NADH and FMN-linked (EC:1.3.1.34)  K00219 2 4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
"fadI","turquoise","beta-ketoacyl-CoA thiolase  anaerobic  subunit (EC:2.3.1.16)  K00632 acetyl-CoA acyltransferase [EC:2.3.1.16]"
"fadJ","brown","fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase (EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8)  K01782 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]"
"fadK","black","short chain acyl-CoA synthetase  anaerobic  K12507 acyl-CoA synthetase [EC:6.2.1.-]"
"fadL","black","long-chain fatty acid outer membrane transporter  K06076 long-chain fatty acid transport protein"
"fadM","yellow","long-chain acyl-CoA thioesterase III  K12500 thioesterase III [EC:3.1.2.-]"
"fadR","turquoise","DNA-binding transcriptional dual regulator of fatty acid metabolism  K03603 GntR family transcriptional regulator  negative regulator for fad regulon and positive regulator of fabA"
"fbaA","brown","fructose-bisphosphate aldolase  class II (EC:4.1.2.13)  K01624 fructose-bisphosphate aldolase  class II [EC:4.1.2.13]"
"fbaB","blue","fructose-bisphosphate aldolase class I (EC:4.1.2.13)  K11645 fructose-bisphosphate aldolase  class I [EC:4.1.2.13]"
"fdhD","turquoise","formate dehydrogenase formation protein  K02379 FdhD protein"
"fdhE","blue","formate dehydrogenase formation protein  K02380 FdhE protein"
"fdhF","blue","formate dehydrogenase-H  selenopolypeptide subunit (EC:1.2.1.2)  K00123 formate dehydrogenase major subunit [EC:1.2.1.2]"
"fdnG","turquoise","formate dehydrogenase-N  alpha subunit  nitrate-inducible (EC:1.2.1.2)  K08348 formate dehydrogenase-N  alpha subunit [EC:1.1.5.6]"
"fdnH","yellow","formate dehydrogenase-N  Fe-S (beta) subunit  nitrate-inducible  K08349 formate dehydrogenase-N  beta subunit"
"fdnI","turquoise","formate dehydrogenase-N  cytochrome B556 (gamma) subunit  nitrate-inducible  K08350 formate dehydrogenase-N  gamma subunit"
"fdoG","brown","formate dehydrogenase-O  large subunit (EC:1.2.1.2)  K00123 formate dehydrogenase major subunit [EC:1.2.1.2]"
"fdoH","turquoise","formate dehydrogenase-O  Fe-S subunit  K00124 formate dehydrogenase iron-sulfur subunit"
"fdoI","blue","formate dehydrogenase-O  cytochrome b556 subunit  K00127 formate dehydrogenase subunit gamma"
"fdrA","blue","multicopy suppressor of dominant negative ftsH mutations  predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain  K02381 FdrA protein"
"fdrA","blue","multicopy suppressor of dominant negative ftsH mutations  predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain  K02381 FdrA protein"
"feaR","green","DNA-binding transcriptional activator for tynA and feaB  K14063 AraC family transcriptional regulator  positive regulator of tynA and feaB"
"feaR","green","DNA-binding transcriptional activator for tynA and feaB  K14063 AraC family transcriptional regulator  positive regulator of tynA and feaB"
"feaR","green","DNA-binding transcriptional activator for tynA and feaB  K14063 AraC family transcriptional regulator  positive regulator of tynA and feaB"
"fecA","blue","KpLE2 phage-like element  ferric citrate outer membrane transporter  K16091 Fe(3+) dicitrate transport protein"
"fecB","blue","KpLE2 phage-like element  iron-dicitrate transporter subunit  K02016 iron complex transport system substrate-binding protein"
"fecC","blue","KpLE2 phage-like element  iron-dicitrate transporter subunit  K02015 iron complex transport system permease protein"
"fecD","turquoise","KpLE2 phage-like element  iron-dicitrate transporter subunit  K02015 iron complex transport system permease protein"
"fecE","brown","KpLE2 phage-like element  iron-dicitrate transporter subunit  K02013 iron complex transport system ATP-binding protein [EC:3.6.3.34]"
"fecI","blue","KpLE2 phage-like element  RNA polymerase  sigma 19 factor  K03088 RNA polymerase sigma-70 factor  ECF subfamily"
"fecR","blue","KpLE2 phage-like element  transmembrane signal transducer for ferric citrate transport  K07165 transmembrane sensor"
"feoA","turquoise","ferrous iron transporter  protein A  K04758 ferrous iron transport protein A"
"feoB","blue","fused ferrous iron transporter  protein B: GTP-binding protein/membrane protein  K04759 ferrous iron transport protein B"
"feoC","blue","predicted DNA-binding transcriptional regulator  K07490 ferrous iron transport protein C"
"fepA","blue","iron-enterobactin outer membrane transporter  K16089 outer membrane receptor for ferrienterochelin and colicins"
"fepB","turquoise","iron-enterobactin transporter subunit  K02016 iron complex transport system substrate-binding protein"
"fepC","turquoise","iron-enterobactin transporter subunit  K02013 iron complex transport system ATP-binding protein [EC:3.6.3.34]"
"fepD","blue","iron-enterobactin transporter subunit  K02015 iron complex transport system permease protein"
"fepE","turquoise","regulator of length of O-antigen component of lipopolysaccharide chains"
"fepG","green","iron-enterobactin transporter subunit  K02015 iron complex transport system permease protein"
"fes","turquoise","enterobactin/ferric enterobactin esterase  K07214 enterochelin esterase and related enzymes"
"ffh","yellow","Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)  K03106 signal recognition particle subunit SRP54"
"ffs","turquoise","4.5S sRNA component of Signal Recognition Particle (SRP)  K01983 SRP RNA"
"ffs","turquoise","4.5S sRNA component of Signal Recognition Particle (SRP)  K01983 SRP RNA"
"fhuA","turquoise","ferrichrome outer membrane transporter  K02014 iron complex outermembrane recepter protein"
"fhuA","turquoise","ferrichrome outer membrane transporter  K02014 iron complex outermembrane recepter protein"
"fhuB","green","fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components  K02015 iron complex transport system permease protein"
"fhuC","blue","iron-hydroxamate transporter subunit  K02013 iron complex transport system ATP-binding protein [EC:3.6.3.34]"
"fhuD","green","iron-hydroxamate transporter subunit  K02016 iron complex transport system substrate-binding protein"
"fhuE","green","ferric-rhodotorulic acid outer membrane transporter  K16088 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid"
"fhuF","blue","ferric iron reductase involved in ferric hydroximate transport  K13255 ferric iron reductase protein FhuF"
"fieF","turquoise","ferrous iron and zinc transporter  K13283 ferrous-iron efflux pump FieF"
"fimB","turquoise","tyrosine recombinase/inversion of on/off regulator of fimA  K07357 type 1 fimbriae regulatory protein FimB"
"fimC","red","periplasmic chaperone  K07346 fimbrial chaperone protein"
"fimD","turquoise","outer membrane usher protein  type 1 fimbrial synthesis  K07347 outer membrane usher protein"
"fimE","turquoise","tyrosine recombinase/inversion of on/off regulator of fimA  K07358 type 1 fimbriae regulatory protein FimE"
"fimF","brown","minor component of type 1 fimbriae  K07348 minor fimbrial subunit"
"fimG","turquoise","minor component of type 1 fimbriae  K07349 minor fimbrial subunit"
"fimH","turquoise","minor component of type 1 fimbriae  K07350 minor fimbrial subunit"
"fimI","turquoise","fimbrial protein involved in type 1 pilus biosynthesis  K07351 fimbrial protein"
"fimZ","red","predicted DNA-binding transcriptional regulator  K07688 two-component system  NarL family  response regulator  fimbrial Z protein  FimZ"
"fimZ","red","predicted DNA-binding transcriptional regulator  K07688 two-component system  NarL family  response regulator  fimbrial Z protein  FimZ"
"fis","blue","global DNA-binding transcriptional dual regulator  K03557 Fis family transcriptional regulator  factor for inversion stimulation protein"
"fiu","blue","catecholate siderophore receptor Fiu  K16090 catecholate siderophore receptor"
"fixA","turquoise","predicted electron transfer flavoprotein subunit  required for anaerobic carnitine reduction  K03521 electron transfer flavoprotein beta subunit"
"fixA","turquoise","predicted electron transfer flavoprotein subunit  required for anaerobic carnitine reduction  K03521 electron transfer flavoprotein beta subunit"
"fixB","turquoise","predicted electron transfer flavoprotein  NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein  K03522 electron transfer flavoprotein alpha subunit"
"fixC","pink","predicted oxidoreductase with FAD/NAD(P)-binding domain  K00313 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]"
"fixX","turquoise","predicted 4Fe-4S ferredoxin-type protein  K03855 ferredoxin like protein"
"fklB","turquoise","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (EC:5.2.1.8)  K03773 FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]"
"fkpA","yellow","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (EC:5.2.1.8)  K03772 FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]"
"fkpB","blue","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (EC:5.2.1.8)  K03774 FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]"
"fkpB","blue","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (EC:5.2.1.8)  K03774 FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]"
"fkpB","blue","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (EC:5.2.1.8)  K03774 FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]"
"fldA","yellow","flavodoxin 1  K03839 flavodoxin I"
"fldB","blue","flavodoxin 2  K03840 flavodoxin II"
"flgA","brown","assembly protein for flagellar basal-body periplasmic P ring  K02386 flagella basal body P-ring formation protein FlgA"
"flgB","turquoise","flagellar component of cell-proximal portion of basal-body rod  K02387 flagellar basal-body rod protein FlgB"
"flgB","turquoise","flagellar component of cell-proximal portion of basal-body rod  K02387 flagellar basal-body rod protein FlgB"
"flgC","turquoise","flagellar component of cell-proximal portion of basal-body rod  K02388 flagellar basal-body rod protein FlgC"
"flgD","green","flagellar hook assembly protein  K02389 flagellar basal-body rod modification protein FlgD"
"flgE","turquoise","flagellar hook protein  K02390 flagellar hook protein FlgE"
"flgF","black","flagellar component of cell-proximal portion of basal-body rod  K02391 flagellar basal-body rod protein FlgF"
"flgG","turquoise","flagellar component of cell-distal portion of basal-body rod  K02392 flagellar basal-body rod protein FlgG"
"flgH","turquoise","flagellar protein of basal-body outer-membrane L ring  K02393 flagellar L-ring protein precursor FlgH"
"flgI","black","predicted flagellar basal body protein  K02394 flagellar P-ring protein precursor FlgI"
"flgJ","black","muramidase  K02395 flagellar protein FlgJ"
"flgM","turquoise","anti-sigma factor for FliA (sigma 28)  K02398 negative regulator of flagellin synthesis FlgM"
"flgM","turquoise","anti-sigma factor for FliA (sigma 28)  K02398 negative regulator of flagellin synthesis FlgM"
"flgN","green","export chaperone for FlgK and FlgL  K02399 flagella synthesis protein FlgN"
"flgN","green","export chaperone for FlgK and FlgL  K02399 flagella synthesis protein FlgN"
"flgN","green","export chaperone for FlgK and FlgL  K02399 flagella synthesis protein FlgN"
"flhA","turquoise","predicted flagellar export pore protein  K02400 flagellar biosynthesis protein FlhA"
"flhB","turquoise","flagellin export apparatus  substrate specificity protein  K02401 flagellar biosynthetic protein FlhB"
"flhC","turquoise","DNA-binding transcriptional dual regulator with FlhD  K02402 flagellar transcriptional activator FlhC"
"flhE","turquoise","proton seal during flagellar secretion  K03516 flagellar protein FlhE"
"fliC","blue","flagellar filament structural protein (flagellin)  K02406 flagellin"
"fliC","blue","flagellar filament structural protein (flagellin)  K02406 flagellin"
"fliD","red","flagellar filament capping protein  K02407 flagellar hook-associated protein 2"
"fliE","turquoise","flagellar basal-body component  K02408 flagellar hook-basal body complex protein FliE"
"fliF","green","flagellar basal-body MS-ring and collar protein  K02409 flagellar M-ring protein FliF"
"fliG","blue","flagellar motor switching and energizing component  K02410 flagellar motor switch protein FliG"
"fliH","blue","negative regulator of FliI ATPase activity  K02411 flagellar assembly protein FliH"
"fliH","blue","negative regulator of FliI ATPase activity  K02411 flagellar assembly protein FliH"
"fliJ","blue","flagellar protein  K02413 flagellar FliJ protein"
"fliK","brown","flagellar hook-length control protein  K02414 flagellar hook-length control protein FliK"
"fliL","turquoise","flagellar biosynthesis protein  K02415 flagellar FliL protein"
"fliN","black","flagellar motor switching and energizing component  K02417 flagellar motor switch protein FliN/FliY"
"fliO","turquoise","flagellar biosynthesis protein  K02418 flagellar protein FliO/FliZ"
"fliQ","turquoise","flagellar biosynthesis protein  K02420 flagellar biosynthetic protein FliQ"
"fliR","turquoise","flagellar export pore protein  K02421 flagellar biosynthetic protein FliR"
"fliS","red","flagellar protein potentiates polymerization  K02422 flagellar protein FliS"
"fliT","turquoise","predicted chaperone  K02423 flagellar protein FliT"
"fliY","turquoise","cystine transporter subunit  K02424 cystine transport system substrate-binding protein"
"fliZ","turquoise","RpoS antagonist  putative regulator of FliA activity  K02425 FliZ protein"
"flk","green","predicted flagella assembly protein"
"flxA","blue","Qin prophage  predicted protein"
"fmt","brown","10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase (EC:2.1.2.9)  K00604 methionyl-tRNA formyltransferase [EC:2.1.2.9]"
"fnr","yellow","DNA-binding transcriptional dual regulator  global regulator of anaerobic growth  K01420 CRP/FNR family transcriptional regulator  anaerobic regulatory protein"
"fnrS","red","FNR-activated anaerobic sRNA antisense regulator down regulates cydDC  metE  sodA  sodB  Hfq-dependent  mediates negative FNR regulation"
"fnrS","red","FNR-activated anaerobic sRNA antisense regulator down regulates cydDC  metE  sodA  sodB  Hfq-dependent  mediates negative FNR regulation"
"fnrS","red","FNR-activated anaerobic sRNA antisense regulator down regulates cydDC  metE  sodA  sodB  Hfq-dependent  mediates negative FNR regulation"
"fnrS","red","FNR-activated anaerobic sRNA antisense regulator down regulates cydDC  metE  sodA  sodB  Hfq-dependent  mediates negative FNR regulation"
"focA","brown","formate channel  K06212 formate transporter"
"focB","turquoise","predicted formate transporter  K03459 formate transporter"
"folA","turquoise","dihydrofolate reductase (EC:1.5.1.3)  K00287 dihydrofolate reductase [EC:1.5.1.3]"
"folB","blue","bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase (EC:4.1.2.25)  K01633 dihydroneopterin aldolase [EC:4.1.2.25]"
"folC","turquoise","bifunctional folylpolyglutamate synthase/dihydrofolate synthase (EC:6.3.2.12 6.3.2.17)  K11754 dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]"
"folE","turquoise","GTP cyclohydrolase I (EC:3.5.4.16)  K01495 GTP cyclohydrolase I [EC:3.5.4.16]"
"folK","turquoise","2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase (EC:2.7.6.3)  K00950 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]"
"folM","turquoise","dihydromonapterin reductase  NADPH-dependent  dihydrofolate reductase isozyme (EC:1.5.1.3)  K13938 dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.- 1.5.1.3]"
"folP","turquoise","7 8-dihydropteroate synthase (EC:2.5.1.15)  K00796 dihydropteroate synthase [EC:2.5.1.15]"
"folX","pink","D-erythro-7 8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase (EC:5.-.-.-)  K07589 D-erythro-7 8-dihydroneopterin triphosphate epimerase [EC:5.-.-.-]"
"frc","blue","formyl-CoA transferase  NAD(P)-binding  K07749 formyl-CoA transferase [EC:2.8.3.16]"
"frdA","brown","fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit (EC:1.3.99.1)  K00244 fumarate reductase flavoprotein subunit [EC:1.3.99.1]"
"frdB","turquoise","fumarate reductase (anaerobic)  Fe-S subunit (EC:1.3.99.1)  K00245 fumarate reductase iron-sulfur subunit [EC:1.3.99.1]"
"frdC","green","fumarate reductase (anaerobic)  membrane anchor subunit  K00246 fumarate reductase subunit C"
"frdD","turquoise","fumarate reductase (anaerobic)  membrane anchor subunit  K00247 fumarate reductase subunit D"
"frlA","blue","predicted fructoselysine transporter  K03294 basic amino acid/polyamine antiporter  APA family"
"frlB","turquoise","fructoselysine-6-P-deglycase  K10708 fructoselysine 6-phosphate deglycase [EC:3.5.-.-]"
"frlC","turquoise","fructoselysine 3-epimerase  K10709 protein FrlC"
"frlD","blue","fructoselysine 6-kinase (EC:2.7.1.-)  K10710 fructoselysine 6-kinase [EC:2.7.1.-]"
"frlR","turquoise","predicted DNA-binding transcriptional regulator  K10711 GntR family transcriptional regulator  frlABCD operon transcriptional regulator"
"frmA","turquoise","alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase (EC:1.1.1.1 1.1.1.284)  K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
